"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible"
"2","3","477","","4994","1","AQ129","190","1"
"2","3","478","","4996","1","AQ129","190","1"
"2","3","479","","4998","1","AQ129","190","1"
"2","3","480","","5000","1","AQ129","190","1"
"2","3","481","","5002","1","AQ129","190","1"
"2","3","482","","5004","1","AQ129","190","1"
"2","3","483","","5006","1","AQ129","190","1"
"2","3","484","","5008","1","AQ129","190","1"
"2","3","485","","5010","1","AQ129","190","1"
"2","3","486","","5012","1","AQ129","190","1"
"2","3","487","","5014","1","AQ129","190","1"
"2","3","488","","4981","0","AQ129","191","1"
"2","3","489","","4983","0","AQ129","191","1"
"2","3","490","","4985","0","AQ129","191","1"
"2","3","491","","4987","0","AQ129","191","1"
"2","3","492","","4989","0","AQ129","191","1"
"2","3","493","","4991","0","AQ129","191","1"
"2","3","494","","4993","0","AQ129","191","1"
"3","3","495","","5025","0","AQ130","195","1"
"3","3","496","","5027","0","AQ130","195","1"
"3","3","497","","5029","0","AQ130","195","1"
"3","3","498","","5031","0","AQ130","195","1"
"3","3","499","","5033","0","AQ130","195","1"
"3","3","500","","5035","0","AQ130","195","1"
"3","3","501","","5037","0","AQ130","195","1"
"3","3","502","","5039","0","AQ130","195","1"
"3","3","503","","5041","0","AQ130","195","1"
"2","3","504","","5016","1","AQ129","190","1"
"2","3","505","","4963","0","AQ129","191","1"
"2","3","506","","4965","0","AQ129","191","1"
"3","3","507","","5009","0","AQ130","195","1"
"3","3","508","","5011","0","AQ130","195","1"
"3","3","509","","5013","0","AQ130","195","1"
"3","3","510","","5015","0","AQ130","195","1"
"3","3","511","","5017","0","AQ130","195","1"
"3","3","512","","5019","0","AQ130","195","1"
"3","3","513","","5021","0","AQ130","195","1"
"3","3","514","","5023","0","AQ130","195","1"
"2","3","515","","4967","0","AQ129","191","1"
"2","3","516","","4969","0","AQ129","191","1"
"2","3","517","","4971","0","AQ129","191","1"
"2","3","518","","4973","0","AQ129","191","1"
"2","3","519","","4975","0","AQ129","191","1"
"2","3","520","","4977","0","AQ129","191","1"
"2","3","521","","4979","0","AQ129","191","1"
"3","3","522","","5033","1","AQ130","194","1"
